id,dcode,park_name,area
68,1001,สวนสันติชัยปราการ,13772
69,1031,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบ พระชนมพรรษา,46752
70,1031,factory square,498
71,1031,Town Square Park,1163
72,1036,ค่ายลูกเสือกรุงเทพมหานคร พิศลยบุตร,84099
73,1025,สวนหลวงพระราม 8,31263
74,1014,Placemark,243
75,1027,สวนนวมินทร์ภิรมย์,1666
76,1027,สวนนวมินทร์ภิรมย์,1458
77,1027,สวนนวมินทร์ภิรมย์,112161
78,1017,สวนพรรณภิรมย์,19969
79,1048,สวนทวีวนารมย์,77815
80,1037,Placemark,290
81,1017,สวนสมเด็จสราญราษฎร์มณีรมย์,15823
82,1005,Placemark,5839
83,1005,Placemark,56
84,1005,Placemark,56
85,1014,Placemark,845
86,1033,Placemark,1627
87,1018,สวนป่าเฉลิมพระเกียรติ,26772
88,1046,Placemark,7828
89,1046,Placemark,6884
90,1046,Placemark,1049
91,1030,Placemark,1135
92,1030,สวนรวมพรรณไม้เกียรติประวัติไทย,43002
93,1030,Placemark,3139
94,1030,Placemark,1626
95,1030,Placemark,1192
96,1030,Placemark,900
97,1030,Placemark,207
98,1030,Placemark,5253
99,1030,สวนปาล์ม มก. อาวุโส,2536
100,1030,Placemark,226
101,1030,Placemark,4883
102,1030,อุทยานพรรณไม้ในเพลงพระราชนิพนธ์ สมเด็จพระเทพรัตนราชสุดา ฯ สยามบรมราชกุมารี,5162
103,1030,Placemark,629
104,1030,Placemark,5369
105,1001,Placemark,50
106,1030,Placemark,5745
107,1011,Placemark,1017
108,1028,สวนเฉลิมพระเกียรติ 80 พรรษา,30072
109,1030,Placemark,1317
110,1018,Placemark,10649
111,1040,สวนสาธารณะเพชรกาญจนารมย์,27080
112,1037,Placemark,2570
113,1037,Placemark,239
114,1028,สวนสาธารณะสะพานตากสิน,8836
115,1017,สระเต่าตึกเมืองไทย-ภัทร,9227
116,1026,Placemark,244
117,1026,Placemark,130
118,1026,Placemark,221
119,1030,Placemark,10060
120,1049,Learning Garden,5322
121,1049,Placemark,1094
122,1023,สวนพุทธรักษ์,5128
123,1007,อุทยาน 100 ปี จุฬาลงกรณ์มหาวิทยาลัย,42212
124,1032,โครงการป่าในกรุง ปตท.,18912
125,1012,The Complete Naratiwas Green Area,671
126,1030,สวนป่า,2571
127,1030,สวนไม้ในวรรณคดี,1601
128,1027,yin yang plaza,472
129,1030,สวนจตุรทัศวรรษ,2051
130,1039,Placemark,2316
131,1029,Placemark,63
132,1029,Placemark,156
133,1006,สวนสุขภาพ กกท.,41657
134,1006,Poonsin Garden,1980
135,1039,Placemark,1178
136,1011,ลานพระจอม,27022
137,1015,Placemark,951
138,1007,สวนปทุมวนานุรักษ์,44589
139,1007,Placemark,9182
140,1004,สวนวัดหัวลำโพงรุกขนิเวศน์,1128
141,1047,สวนสุขภาพภูติอนันต์,6935
142,1048,สวนสาธารณะพุทธมณฑลสาย2,96894
143,1035,สวนสาธารณะ ซอยสินทวี,4201
144,1035,สวนวิชิตรนคร,1338
145,1030,Placemark,6080
146,1030,Placemark,6300
147,1030,Placemark,2541
148,1030,Placemark,1061
149,1030,Placemark,475
150,1030,Placemark,2347
151,1030,Placemark,1779
152,1017,Placemark,3005
153,1024,สวนวงแหวนสุขสวัสดิ์,20659
154,1030,Placemark,3204
155,1030,Placemark,3437
156,1006,Placemark,1963
157,1045,Placemark,397
158,1030,Placemark,4019
159,1020,สวนเฉลิมพระเกียรติ 72 พรรษา,4368
160,1020,สวนบางขุนนนท์,31634
161,1020,LED Park,968
162,1030,Placemark,1013
163,1020,สวนเฉลิมพระเกียรติ 72 พรรษา,4526
164,1003,สวนน้ำพุสี่ชั้น ม.มหานคร,654
165,1003,สวนบ่อน้ำ ม.มหานคร,17646
166,1020,Placemark,835
167,1036,Child Park,846
168,1036,National Memorial Park,3090
169,1036,สวนสุขภาพ ทอ.เฉลิมพระเกียรติ,151086
170,1030,SCB park east,3815
171,1030,SCB park west,2453
172,1030,สวนวงเวียนซ.24,4082
173,1030,SCB park main,1885
174,1036,สวนสุขภาพเฉลิมพระเกียรติ 80 พรรษา,6305
175,1007,สวนรวมใจ,1542
176,1041,สวนสาธารณะบึงสีกัน,76926
177,1041,DPU Building 9 Park,6282
178,1041,The Three Birds Park,623
179,1020,Placemark,220
180,1030,สวนสาธารณะหมู่บ้านซิเมนต์ไทย,14717
181,1032,สวนรวมใจ,265
182,1006,Placemark,49
183,1035,สวนและลานกีฬาอเนกประสงค์สินทวี,2010
184,1027,The Pud English garden,25009
185,1005,Anniversary Park at PNRU,8632
186,1030,Placemark,1482
187,1024,Orchid Park,16059
188,1027,สวนปฏิบัติธรรม,10735
189,1017,Placemark,1986
190,1017,Placemark,1334
191,1037,Ramathibodhi's Public Park,950
192,1037,Neoroscience's Park,1830
193,1037,Prapassaro's Garden,1388
194,1046,Safari World Mini Park,12669
195,1046,LK2 PARK,6851
196,1046,Hahaimitr park,2351
197,1036,สนามกีฬาเคหะชุมชนทุ่งสองห้อง 4,3478
198,1042,Park,746
199,1036,ลานกีฬาเคหะทุ่งสองห้อง,1910
200,1028,Placemark,570
201,1039,Placemark,1399
202,1030,Placemark,10710
203,1030,Placemark,6713
204,1030,Placemark,3819
205,1041,DPU 3 Park,624
206,1041,Placemark,761
207,1041,สวนการเคหะทุ่งสองห้อง,13875
208,1027,Placemark,16074
209,1030,Placemark,407
210,1030,Placemark,51
211,1030,Placemark,9580
212,1027,Placemark,17223
213,1038,Plaza Lagoon,6384
214,1035,Placemark,4707
215,1005,สวนวัชราภิรมย์,69208
216,1002,Placemark,423
217,1038,Sena Park,22006
218,1045,สวนสาธารณะวังทอง 1,1919
219,1017,Rain Tree Park,929
220,1017,MRT Park,7516
221,1021,สวนสมเด็จย่า,6717
222,1041,Placemark,14705
223,1001,ลานพลับพลามหาเจษฎาบดินทร์,3784
224,1001,สวนสาธารณะป้อมมหากาฬ,10263
225,1025,สวนหย่อมโลตัสบางพลัด,726
226,1024,Placemark,2426
227,1024,Placemark,3663
228,1020,Placemark,3462
229,1022,Placemark,2482
230,1019,สวนหย่อม The circle,964
231,1034,Placemark,31671
232,1019,Placemark,5311
233,1019,Placemark,13339
234,1019,Placemark,816
235,1019,Placemark,1571
236,1019,Placemark,2500
237,1019,Placemark,999
238,1019,Placemark,778
239,1049,Placemark,8712
240,1048,Placemark,2437
241,1048,Placemark,1794
242,1048,Placemark,385
243,1040,Placemark,1946
244,1040,Placemark,5021
245,1048,Placemark,1492
246,1048,Placemark,1803
247,1048,Placemark,11067
248,1048,Placemark,1698
249,1048,Placemark,2817
250,1048,Placemark,1663
251,1048,Placemark,1348
252,1048,Placemark,4278
253,1048,Placemark,3054
254,1048,Placemark,1132
255,1048,Placemark,3939
256,1045,Placemark,1666
257,1019,Placemark,9894
258,1019,Placemark,6465
259,1032,Muang Thong Park,2204
260,1032,Muang Thong Park,14997
261,1042,Placemark,3442
262,1042,Placemark,19578
263,1042,Placemark,20782
264,1042,Placemark,3243
265,1042,Placemark,2260
266,1042,สวนสาธารณะกองทัพอากาศ,81480
267,1034,Placemark,835
268,1034,Placemark,655
269,1036,Thaninthorn Park,626
270,1030,Placemark,656
271,1030,Placemark,681
272,1030,Placemark,1044
273,1030,Placemark,625
274,1027,Placemark,961
275,1041,DPU Building 12 Park,978
276,1010,Park,5817
277,1033,Placemark,10208
278,1007,Placemark,2732
279,1037,สวนรมย์ราชเทวี,17046
