dcode,dname,year,value
1041,เขตหลักสี่,2567,17
1048,เขตทวีวัฒนา,2567,23.89
1036,เขตดอนเมือง,2567,22.35
1045,เขตวังทองหลาง,2567,18.94
1024,เขตราษฎร์บูรณะ,2567,15.85
1028,เขตสาทร,2567,10.86
1017,เขตห้วยขวาง,2567,16.71
1002,เขตดุสิต,2567,11.12
1039,เขตวัฒนา,2567,19.73
1044,เขตสะพานสูง,2567,6.47
1014,เขตพญาไท,2567,22.53
1001,เขตพระนคร,2567,15.24
1004,เขตบางรัก,2567,16.34
1007,เขตปทุมวัน,2567,19.06
1013,เขตสัมพันธวงศ์,2567,17.98
1021,เขตบางขุนเทียน,2568,25.3
1032,เขตประเวศ,2568,24.14
1042,เขตสายไหม,2568,12.39
1023,เขตหนองแขม,2568,24.78
1040,เขตบางแค,2568,24.22
1026,เขตดินแดง,2568,23.73
1049,เขตทุ่งครุ,2568,19.19
1005,เขตบางเขน,2568,25.41
1003,เขตหนองจอก,2568,16.09
1035,เขตจอมทอง,2568,15.31
1018,เขตคลองสาน,2568,19.84
1050,เขตบางบอน,2568,27.67
1019,เขตตลิ่งชัน,2568,19.64
1046,เขตคลองสามวา,2568,21.33
1022,เขตภาษีเจริญ,2568,19.84
1030,เขตจตุจักร,2568,22.05
1047,เขตบางนา,2568,14.14
1048,เขตทวีวัฒนา,2568,21.36
1027,เขตบึงกุ่ม,2568,21.21
1015,เขตธนบุรี,2568,17.6
1010,เขตมีนบุรี,2568,17.84
1031,เขตบางคอแหลม,2568,20.7
1024,เขตราษฎร์บูรณะ,2568,24.96
1011,เขตลาดกระบัง,2568,19.39
1009,เขตพระโขนง,2568,16.75
1012,เขตยานนาวา,2568,22.39
1025,เขตบางพลัด,2568,21.3
1029,เขตบางซื่อ,2568,18.85
1034,เขตสวนหลวง,2568,17.88
1020,เขตบางกอกน้อย,2568,22.72
1008,เขตป้อมปราบศัตรูพ่าย,2568,13.31
1038,เขตลาดพร้าว,2568,17.29
1028,เขตสาทร,2568,23.3
1033,เขตคลองเตย,2568,27.85
1002,เขตดุสิต,2568,23.17
1016,เขตบางกอกใหญ่,2568,15.32
1017,เขตห้วยขวาง,2568,22.98
1006,เขตบางกะปิ,2568,19.71
1043,เขตคันนายาว,2568,17.43
1044,เขตสะพานสูง,2568,13.49
1041,เขตหลักสี่,2568,19.76
1036,เขตดอนเมือง,2568,26.47
1014,เขตพญาไท,2568,22.44
1007,เขตปทุมวัน,2568,28.92
1045,เขตวังทองหลาง,2568,22.6
1001,เขตพระนคร,2568,16.27
1037,เขตราชเทวี,2568,34.18
1039,เขตวัฒนา,2568,17.76
1004,เขตบางรัก,2568,18.62
1013,เขตสัมพันธวงศ์,2568,20
