dcode,dname,year,value
1042,เขตสายไหม,2567,30.98
1025,เขตบางพลัด,2567,30.03
1023,เขตหนองแขม,2567,33.17
1010,เขตมีนบุรี,2567,30.39
1032,เขตประเวศ,2567,32.65
1021,เขตบางขุนเทียน,2567,32
1002,เขตดุสิต,2567,31.23
1030,เขตจตุจักร,2567,27.98
1022,เขตภาษีเจริญ,2567,30.1
1029,เขตบางซื่อ,2567,33.34
1003,เขตหนองจอก,2567,36.5
1033,เขตคลองเตย,2567,35.44
1015,เขตธนบุรี,2567,33.23
1031,เขตบางคอแหลม,2567,33.56
1047,เขตบางนา,2567,31.14
1035,เขตจอมทอง,2567,32.01
1018,เขตคลองสาน,2567,32.09
1046,เขตคลองสามวา,2567,36.98
1049,เขตทุ่งครุ,2567,31.74
1034,เขตสวนหลวง,2567,31.39
1038,เขตลาดพร้าว,2567,30.75
1012,เขตยานนาวา,2567,35.42
1026,เขตดินแดง,2567,34.43
1048,เขตทวีวัฒนา,2567,31.45
1006,เขตบางกะปิ,2567,30.52
1016,เขตบางกอกใหญ่,2567,32.59
1008,เขตป้อมปราบศัตรูพ่าย,2567,31.82
1037,เขตราชเทวี,2567,29.34
1004,เขตบางรัก,2567,29.87
1027,เขตบึงกุ่ม,2567,31.18
1044,เขตสะพานสูง,2567,30.87
1024,เขตราษฎร์บูรณะ,2567,34.3
1050,เขตบางบอน,2567,32.52
1005,เขตบางเขน,2567,32.7
1009,เขตพระโขนง,2567,31.09
1019,เขตตลิ่งชัน,2567,32.44
1020,เขตบางกอกน้อย,2567,33.48
1017,เขตห้วยขวาง,2567,29.48
1028,เขตสาทร,2567,32.19
1001,เขตพระนคร,2567,32.31
1045,เขตวังทองหลาง,2567,29.62
1043,เขตคันนายาว,2567,34.86
1007,เขตปทุมวัน,2567,33.43
1041,เขตหลักสี่,2567,32.09
1039,เขตวัฒนา,2567,32.53
1014,เขตพญาไท,2567,33.92
1036,เขตดอนเมือง,2567,33.56
1013,เขตสัมพันธวงศ์,2567,28.43
1032,เขตประเวศ,2568,36.18
1023,เขตหนองแขม,2568,36.58
1026,เขตดินแดง,2568,35.71
1021,เขตบางขุนเทียน,2568,36.99
1030,เขตจตุจักร,2568,30.89
1049,เขตทุ่งครุ,2568,35.59
1042,เขตสายไหม,2568,37.38
1040,เขตบางแค,2568,33.04
1035,เขตจอมทอง,2568,35.17
1048,เขตทวีวัฒนา,2568,32.36
1015,เขตธนบุรี,2568,33.22
1034,เขตสวนหลวง,2568,32.21
1047,เขตบางนา,2568,33.33
1009,เขตพระโขนง,2568,31.82
1022,เขตภาษีเจริญ,2568,32.4
1029,เขตบางซื่อ,2568,33.95
1003,เขตหนองจอก,2568,39.07
1006,เขตบางกะปิ,2568,31.93
1005,เขตบางเขน,2568,36.12
1025,เขตบางพลัด,2568,31.88
1019,เขตตลิ่งชัน,2568,35.77
1027,เขตบึงกุ่ม,2568,37.06
1046,เขตคลองสามวา,2568,38.5
1050,เขตบางบอน,2568,35.62
1008,เขตป้อมปราบศัตรูพ่าย,2568,35.57
1010,เขตมีนบุรี,2568,37.83
1018,เขตคลองสาน,2568,32.6
1024,เขตราษฎร์บูรณะ,2568,38.78
1038,เขตลาดพร้าว,2568,32.51
1011,เขตลาดกระบัง,2568,36.54
1020,เขตบางกอกน้อย,2568,36.57
1031,เขตบางคอแหลม,2568,34.93
1016,เขตบางกอกใหญ่,2568,33.93
1012,เขตยานนาวา,2568,38.01
1033,เขตคลองเตย,2568,39.75
1028,เขตสาทร,2568,36.28
1045,เขตวังทองหลาง,2568,34.35
1043,เขตคันนายาว,2568,33.54
1041,เขตหลักสี่,2568,33.9
1017,เขตห้วยขวาง,2568,32.04
1002,เขตดุสิต,2568,37.85
1044,เขตสะพานสูง,2568,33.9
1001,เขตพระนคร,2568,34.83
1039,เขตวัฒนา,2568,40.25
1037,เขตราชเทวี,2568,32.51
1014,เขตพญาไท,2568,36.26
1036,เขตดอนเมือง,2568,38.05
1004,เขตบางรัก,2568,35.83
1007,เขตปทุมวัน,2568,38.83
1013,เขตสัมพันธวงศ์,2568,40
