dcode,dname,year,value
1022,เขตภาษีเจริญ,2567,10.61
1035,เขตจอมทอง,2567,7.55
1047,เขตบางนา,2567,7.81
1029,เขตบางซื่อ,2567,6.93
1031,เขตบางคอแหลม,2567,5.97
1046,เขตคลองสามวา,2567,9.04
1002,เขตดุสิต,2567,9.06
1030,เขตจตุจักร,2567,6.71
1048,เขตทวีวัฒนา,2567,12.46
1006,เขตบางกะปิ,2567,4.19
1025,เขตบางพลัด,2567,5.08
1038,เขตลาดพร้าว,2567,7.55
1010,เขตมีนบุรี,2567,8.66
1012,เขตยานนาวา,2567,8.65
1005,เขตบางเขน,2567,7.56
1026,เขตดินแดง,2567,10.8
1033,เขตคลองเตย,2567,9.6
1018,เขตคลองสาน,2567,6.51
1034,เขตสวนหลวง,2567,6.13
1016,เขตบางกอกใหญ่,2567,8.63
1050,เขตบางบอน,2567,9.82
1020,เขตบางกอกน้อย,2567,11.39
1037,เขตราชเทวี,2567,13.75
1027,เขตบึงกุ่ม,2567,7.49
1024,เขตราษฎร์บูรณะ,2567,9.06
1009,เขตพระโขนง,2567,10.34
1008,เขตป้อมปราบศัตรูพ่าย,2567,6.21
1039,เขตวัฒนา,2567,11.59
1019,เขตตลิ่งชัน,2567,9.82
1044,เขตสะพานสูง,2567,5.47
1017,เขตห้วยขวาง,2567,5.76
1045,เขตวังทองหลาง,2567,8.72
1041,เขตหลักสี่,2567,7.54
1043,เขตคันนายาว,2567,7.81
1004,เขตบางรัก,2567,10.45
1028,เขตสาทร,2567,6.22
1007,เขตปทุมวัน,2567,11.52
1001,เขตพระนคร,2567,8.96
1036,เขตดอนเมือง,2567,8.8
1014,เขตพญาไท,2567,10.42
1013,เขตสัมพันธวงศ์,2567,9.74
1021,เขตบางขุนเทียน,2568,11.24
1023,เขตหนองแขม,2568,10.51
1032,เขตประเวศ,2568,14.7
1040,เขตบางแค,2568,8.64
1026,เขตดินแดง,2568,10.33
1049,เขตทุ่งครุ,2568,8.46
1003,เขตหนองจอก,2568,15.74
1015,เขตธนบุรี,2568,8.61
1046,เขตคลองสามวา,2568,17.14
1046,เขตคลองสามวา,2568,17.14
1035,เขตจอมทอง,2568,8.56
1019,เขตตลิ่งชัน,2568,8.42
1048,เขตทวีวัฒนา,2568,9.61
1050,เขตบางบอน,2568,13.4
1022,เขตภาษีเจริญ,2568,8.89
1009,เขตพระโขนง,2568,8.06
1031,เขตบางคอแหลม,2568,10.65
1031,เขตบางคอแหลม,2568,10.65
1030,เขตจตุจักร,2568,7.23
1020,เขตบางกอกน้อย,2568,8.66
1005,เขตบางเขน,2568,8.62
1027,เขตบึงกุ่ม,2568,8.96
1010,เขตมีนบุรี,2568,12.29
1047,เขตบางนา,2568,4.32
1034,เขตสวนหลวง,2568,9.23
1011,เขตลาดกระบัง,2568,7.37
1024,เขตราษฎร์บูรณะ,2568,12.05
1025,เขตบางพลัด,2568,7.32
1018,เขตคลองสาน,2568,4.75
1012,เขตยานนาวา,2568,12.37
1029,เขตบางซื่อ,2568,6.66
1028,เขตสาทร,2568,10.99
1016,เขตบางกอกใหญ่,2568,5.65
1038,เขตลาดพร้าว,2568,5.65
1043,เขตคันนายาว,2568,6.75
1002,เขตดุสิต,2568,12.22
1042,เขตสายไหม,2568,4.3
1006,เขตบางกะปิ,2568,6.04
1041,เขตหลักสี่,2568,4.86
1008,เขตป้อมปราบศัตรูพ่าย,2568,5.71
1017,เขตห้วยขวาง,2568,7.48
1007,เขตปทุมวัน,2568,12.32
1033,เขตคลองเตย,2568,13.37
1044,เขตสะพานสูง,2568,12.18
1014,เขตพญาไท,2568,6.6
1001,เขตพระนคร,2568,5.76
1036,เขตดอนเมือง,2568,10.42
1004,เขตบางรัก,2568,8.74
1037,เขตราชเทวี,2568,12.5
1045,เขตวังทองหลาง,2568,7.5
1039,เขตวัฒนา,2568,9.44
1013,เขตสัมพันธวงศ์,2568,8.47
