id,dcode,sport_field_name,sport_field_type,area
1003064,1003,ชุมชนดารุ้ลมูกร้อดรอบิน (ลำหิน),ชุมชนทั่วไป,330
1003065,1003,มูลนิธิอนุรักษ์มรดกอิสลาม,ชุมชนทั่วไป,600
1003066,1003,มูลนิธิอนุสรณ์ตระกูลกอดีรี ,ชุมชนทั่วไป,400
1003067,1003,สำนักงานเขตหนองจอก ,ชุมชนทั่วไป,50
1003068,1003,เคหะชุมชนฉลองกรุงโซน 5,ชุมชนทั่วไป,231
1003069,1003,เคหะชุมชนฉลองกรุงโซน 6,ชุมชนทั่วไป,664
1005001,1005,ชุมชนเพชรสยาม,ชุมชนทั่วไป,1100
1005002,1005,ชุมชนอยู่เย็นเป็นสุข,ชุมชนทั่วไป,400
1005003,1005,ชุมชนเคหะรามอินทรา,ชุมชนทั่วไป,1563
1005004,1005,ชุมชนหมู่บ้านสุขใจวิลเลจ,ชุมชนทั่วไป,1500
1005005,1005,ชุมชนหมู่บ้านรุ่งสว่างวิลเลจ,ชุมชนทั่วไป,800
1005006,1005,ชุมชนพัชรัฐ,ชุมชนทั่วไป,400
1005007,1005,โรงเรียนไทยนิยมสงเคราะห์,โรงเรียนสังกัดกรุงเทพมหานคร,800
1005008,1005,โรงเรียนบ้านคลองบัว,โรงเรียนสังกัดกรุงเทพมหานคร,300
1005009,1005,โรงเรียนประชาภิบาล,โรงเรียนสังกัดกรุงเทพมหานคร,400
1005010,1005,โรงเรียนวัดไตรรัตนาราม,โรงเรียนสังกัดกรุงเทพมหานคร,200
1005011,1005,ชุมชนหมู่บ้านสดใส,ชุมชนทั่วไป,400
1005012,1005,ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 1,ชุมชนทั่วไป,1900
1005013,1040,ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,ชุมชนทั่วไป,247
1005014,1005,ชุมชนหมู่บ้านปั้นทอง 3,ชุมชนทั่วไป,300
1005015,1005,ชุมชนหมู่บ้านฝนทองนิเวศน์,ชุมชนทั่วไป,70
1005016,1005,หมู่บ้านเมธา  1,ชุมชนทั่วไป,146
1005017,1005,ชุมชนหมู่บ้านอยู่เจริญ,ชุมชนทั่วไป,200
1006001,1006,แฟลตการเคหะคลองจั่นหลังที่ 19,ชุมชนทั่วไป,100
1006002,1006,แฟลตการเคหะคลองจั่นหลังที่ 24,ชุมชนทั่วไป,100
1006003,1006,แฟลตการเคหะคลองจั่นหลังที่ 27,ชุมชนทั่วไป,100
1006004,1006,แฟลตการเคหะคลองจั่นหลังที่ 28,ชุมชนทั่วไป,100
1006005,1006,แฟลตการเคหะคลองจั่นหลังที่ 30,ชุมชนทั่วไป,100
1006006,1006,แฟลตการเคหะหลังที่ 22 ลานที่ 1,ชุมชนทั่วไป,300
1006007,1006,แฟลตการเคหะหลังที่ 22 ลานที่ 2,ชุมชนทั่วไป,300
1006008,1006,แฟลตการเคหะหลังที่ 4-8,ชุมชนทั่วไป,200
1006009,1006,แฟลตการเคหะหลังที่ 7 ลานที่ 1,ชุมชนทั่วไป,200
1006010,1006,แฟลตการเคหะหลังที่ 7 ลานที่ 2,ชุมชนทั่วไป,200
1006011,1006,โรงเรียนไขศรีปราโมทย์อนุสรณ์,โรงเรียนสังกัดกรุงเทพมหานคร,100
1006012,1006,โรงเรียนคลองกะจะ,โรงเรียนสังกัดกรุงเทพมหานคร,150
1006013,1006,โรงเรียนบ้านบางกะปิ,โรงเรียนสังกัดกรุงเทพมหานคร,2304
1006014,1006,โรงเรียนลำสาลี,โรงเรียนสังกัดกรุงเทพมหานคร,150
1006015,1006,โรงเรียนวัดเทพลีลา,โรงเรียนสังกัดกรุงเทพมหานคร,200
1006016,1006,โรงเรียนวัดบึงทองหลาง,โรงเรียนสังกัดกรุงเทพมหานคร,300
1006017,1006,โรงเรียนวัดศรีบุญเรือง,โรงเรียนสังกัดกรุงเทพมหานคร,150
