dcode,dname,sex,age,population,age_group,age_group_range
1029,เขตบางซื่อ,male,84,192,80,65 years and older
1047,เขตบางนา,female,81,192,80,65 years and older
1025,เขตบางพลัด,male,81,192,80,65 years and older
1004,เขตบางรัก,male,21,192,20,15 to 64 years
1004,เขตบางรัก,male,71,192,70,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,female,33,192,30,15 to 64 years
1009,เขตพระโขนง,female,2,192,0,0 to 14 years
1039,เขตวัฒนา,male,79,192,75,65 years and older
1031,เขตบางคอแหลม,female,82,191,80,65 years and older
1004,เขตบางรัก,male,72,191,70,65 years and older
1007,เขตปทุมวัน,female,16,191,15,15 to 64 years
1009,เขตพระโขนง,female,82,191,80,65 years and older
1001,เขตพระนคร,female,19,191,15,15 to 64 years
1024,เขตราษฏร์บูรณะ,female,81,191,80,65 years and older
1018,เขตคลองสาน,female,80,190,80,65 years and older
1025,เขตบางพลัด,male,0,190,0,0 to 14 years
1004,เขตบางรัก,female,18,190,15,15 to 64 years
1004,เขตบางรัก,female,19,190,15,15 to 64 years
1004,เขตบางรัก,female,23,190,20,15 to 64 years
1007,เขตปทุมวัน,male,2,190,0,0 to 14 years
1008,เขตป้อมปราบศัตรูพ่าย,male,20,190,20,15 to 64 years
1006,เขตบางกะปิ,male,83,189,80,65 years and older
1025,เขตบางพลัด,female,86,189,85,65 years and older
1007,เขตปทุมวัน,male,71,189,70,65 years and older
1022,เขตภาษีเจริญ,male,81,189,80,65 years and older
1024,เขตราษฏร์บูรณะ,female,80,189,80,65 years and older
1030,เขตจตุจักร,male,87,188,85,65 years and older
1036,เขตดอนเมือง,female,86,188,85,65 years and older
1002,เขตดุสิต,male,1,188,0,0 to 14 years
1019,เขตตลิ่งชัน,male,80,188,80,65 years and older
1016,เขตบางกอกใหญ่,male,4,188,0,0 to 14 years
1021,เขตบางขุนเทียน,female,85,188,85,65 years and older
1021,เขตบางขุนเทียน,male,80,188,80,65 years and older
1014,เขตพญาไท,female,80,188,80,65 years and older
1001,เขตพระนคร,female,83,188,80,65 years and older
1024,เขตราษฏร์บูรณะ,female,79,188,75,65 years and older
1039,เขตวัฒนา,male,80,188,80,65 years and older
1028,เขตสาทร,female,1,188,0,0 to 14 years
1018,เขตคลองสาน,male,3,187,0,0 to 14 years
1040,เขตบางแค,female,88,187,85,65 years and older
1004,เขตบางรัก,female,24,187,20,15 to 64 years
1004,เขตบางรัก,male,70,187,70,65 years and older
1007,เขตปทุมวัน,male,72,187,70,65 years and older
1028,เขตสาทร,male,80,187,80,65 years and older
1036,เขตดอนเมือง,male,81,186,80,65 years and older
1002,เขตดุสิต,female,1,186,0,0 to 14 years
1034,เขตสวนหลวง,male,80,186,80,65 years and older
1028,เขตสาทร,male,77,186,75,65 years and older
1032,เขตประเวศ,male,83,185,80,65 years and older
1008,เขตป้อมปราบศัตรูพ่าย,male,74,185,70,65 years and older
1014,เขตพญาไท,female,81,185,80,65 years and older
1013,เขตสัมพันธวงศ์,female,59,185,55,15 to 64 years
1028,เขตสาทร,female,85,185,85,65 years and older
1041,เขตหลักสี่,female,85,185,85,65 years and older
1018,เขตคลองสาน,female,2,184,0,0 to 14 years
1043,เขตคันนายาว,male,75,184,75,65 years and older
1043,เขตคันนายาว,male,77,184,75,65 years and older
1002,เขตดุสิต,male,86,184,85,65 years and older
1015,เขตธนบุรี,male,81,184,80,65 years and older
1004,เขตบางรัก,female,0,184,0,0 to 14 years
